x,y,z,status
-9217,-859,12625,1
-9151,-647,12685,1
-9332,-775,12622,1
-9243,-865,12593,1
-9102,-619,12666,1
-9369,-848,12596,1
-9176,-829,12645,1
-9172,-650,12605,1
-9325,-826,12580,1
-9235,-830,12588,1
-9118,-630,12686,1
-9351,-861,12598,1
-9113,-782,12623,1
-9163,-642,12640,1
-9258,-869,12617,1
-9176,-789,12602,1
-9142,-692,12640,1
-9307,-878,12581,1
-9150,-741,12606,1
-9198,-661,12601,1
-9293,-908,12613,1
-9131,-749,12615,1
-9216,-684,12669,1
-9208,-901,12649,1
-9185,-732,12612,1
-9199,-703,12675,1
-9273,-917,12600,1
-9123,-693,12595,1
-9325,-725,12619,1
-9235,-895,12661,1
-9161,-669,12659,1
-9234,-752,12647,1
-9292,-904,12619,1
-9094,-667,12652,1
-9319,-793,12580,1
-9250,-893,12637,1
-9123,-665,12608,1
-9317,-814,12606,1
-9253,-897,12606,1
-9125,-629,12613,1
-9313,-825,12614,1
-9247,-839,12611,1
-9095,-620,12671,1
-9387,-822,12595,1
-9186,-831,12588,1
-9148,-661,12611,1
-9333,-840,12579,1
-9285,-860,12543,1
-9117,-629,12619,1
-9338,-888,12595,1
-9147,-785,12624,1
-9153,-655,12616,1
-9286,-850,12611,1
-9187,-787,12615,1
-9133,-627,12638,1
-9344,-877,12592,1
-9152,-744,12632,1
-9223,-660,12608,1
-9283,-894,12617,1
-9164,-740,12598,1
-9222,-676,12667,1
-9226,-921,12631,1
-9177,-721,12589,1
-9241,-693,12580,1
-9269,-911,12618,1
-9129,-697,12624,1
-9313,-730,12611,1
-9260,-898,12612,1
-9170,-655,12617,1
-9234,-712,12676,1
-9295,-915,12578,1
-9092,-621,12673,1
-9318,-775,12556,1
-9226,-885,12665,1
-9142,-663,12619,1
-9316,-787,12575,1
-9294,-868,12565,1
-9101,-651,12659,1
-9362,-787,12574,1
-9193,-829,12655,1
-9128,-634,12654,1
-9338,-835,12576,1
-9230,-852,12560,1
-9119,-664,12638,1
-9361,-847,12588,1
-9204,-823,12595,1
-9105,-640,12616,1
-9337,-855,12534,1
-9152,-788,12640,1
-9152,-636,12688,1
-9289,-886,12605,1
-9182,-782,12587,1
-9158,-653,12692,1
-9321,-894,12574,1
-9148,-805,12601,1
-9205,-670,12626,1
-9271,-882,12629,1
-9184,-764,12596,1
-9177,-685,12643,1
-9237,-919,12609,1
-9147,-691,12617,1
-9260,-704,12612,1
-9266,-888,12633,1
-9171,-714,12593,1
-9267,-713,12617,1
-9260,-896,12622,1
-9151,-665,12604,1
-9251,-767,12668,1
-9268,-879,12630,1
-9115,-667,12648,1
-9350,-795,12617,1
-9213,-893,12628,1
-9176,-678,12610,1
-9310,-791,12566,1
-9274,-866,12595,1
-9092,-610,12637,1
-9381,-803,12615,1
-9196,-836,12650,1
-9136,-663,12659,1
-9328,-827,12640,1
-9218,-875,12585,1
-9132,-638,12604,1
-9356,-861,12578,1
-9190,-817,12603,1
-9125,-666,12630,1
-9335,-859,12596,1
-9133,-822,12610,1
-9126,-648,12647,1
-9295,-878,12576,1
-9176,-791,12636,1
-9179,-690,12634,1
-9321,-908,12618,1
-9143,-751,12624,1
-9209,-680,12605,1
-9227,-898,12634,1
-9158,-764,12602,1
-9187,-657,12706,1
-9264,-936,12636,1
-9146,-714,12624,1
-9286,-739,12614,1
-9217,-897,12621,1
-9182,-709,12580,1
-9241,-736,12625,1
-9283,-887,12626,1
-9109,-637,12629,1
-9297,-754,12612,1
-9241,-891,12632,1
-9112,-653,12650,1
-9308,-806,12568,1
-9251,-880,12586,1
-9150,-686,12574,1
-9338,-788,12547,1
-9272,-875,12569,1
-9100,-620,12689,1
-9341,-816,12577,1
-9202,-866,12598,1
-9163,-673,12618,1
-9331,-863,12591,1
-9238,-843,12573,1
-9123,-636,12622,1
-9375,-871,12517,1
-9153,-787,12597,1
-9163,-611,12645,1
-9276,-853,12642,1
-9164,-779,12624,1
-9134,-646,12641,1
-9284,-893,12606,1
-9139,-766,12615,1
-9201,-681,12629,1
-9284,-910,12576,1
-9141,-751,12599,1
-9200,-654,12610,1
-9229,-920,12670,1
-9164,-713,12577,1
-9227,-689,12629,1
-9257,-919,12614,1
-9120,-710,12615,1
-9277,-687,12596,1
-9243,-880,12612,1
-9180,-696,12616,1
-9224,-732,12612,1
-9294,-897,12635,1
-9078,-645,12665,1
-9322,-779,12587,1
-9228,-873,12640,1
-9154,-674,12598,1
-9313,-778,12588,1
-9283,-858,12603,1
-9145,-628,12674,1
-9339,-806,12573,1
-9234,-858,12624,1
-9084,-612,12618,1
-9353,-818,12613,1
-9206,-835,12599,1
-9152,-664,12612,1
-9320,-840,12615,1
-9267,-842,12585,1
-9118,-662,12656,1
-9355,-916,12588,1
-9122,-798,12629,1
-9142,-647,12667,1
-9287,-888,12630,1
-9176,-783,12581,1
-9169,-657,12650,1
-9330,-906,12565,1
-9148,-751,12628,1
