18:13:38:604 -> X -4070;Y -23;Z 14613
18:13:38:625 -> X -12284;Y -2801;Z 16395
18:13:38:644 -> X -13691;Y 276;Z 6254
18:13:38:665 -> X -3566;Y 762;Z 12669
18:13:38:685 -> X -11096;Y -2866;Z 17385
18:13:38:705 -> X -14720;Y -179;Z 6923
18:13:38:724 -> X -3829;Y 1300;Z 10828
18:13:38:745 -> X -9992;Y -2696;Z 17932
18:13:38:765 -> X -15194;Y -692;Z 8210
18:13:38:784 -> X -4711;Y 1628;Z 9138
18:13:38:804 -> X -8754;Y -2418;Z 18155
18:13:38:825 -> X -15262;Y -1384;Z 10009
18:13:38:844 -> X -6188;Y 1593;Z 7967
18:13:38:865 -> X -7501;Y -2004;Z 17932
18:13:38:885 -> X -14877;Y -1936;Z 11878
18:13:38:904 -> X -8253;Y 1390;Z 7053
18:13:38:925 -> X -6177;Y -1441;Z 17252
18:13:38:945 -> X -14116;Y -2363;Z 13731
18:13:38:964 -> X -10515;Y 996;Z 6391
18:13:38:985 -> X -4884;Y -725;Z 15994
18:13:39:005 -> X -13160;Y -2707;Z 15236
18:13:39:029 -> X -12546;Y 552;Z 6093
18:13:39:044 -> X -3967;Y 120;Z 14274
18:13:39:065 -> X -12020;Y -2791;Z 16616
18:13:39:084 -> X -13969;Y 184;Z 6382
18:13:39:105 -> X -3578;Y 893;Z 12244
18:13:39:125 -> X -10897;Y -2826;Z 17512
18:13:39:145 -> X -14827;Y -256;Z 7160
18:13:39:165 -> X -3982;Y 1405;Z 10355
18:13:39:185 -> X -9660;Y -2639;Z 18042
18:13:39:205 -> X -15262;Y -896;Z 8624
18:13:39:225 -> X -5022;Y 1647;Z 8779
18:13:39:245 -> X -8453;Y -2356;Z 18135
18:13:39:265 -> X -15157;Y -1502;Z 10494
18:13:39:284 -> X -6574;Y 1577;Z 7650
18:13:39:305 -> X -7165;Y -1871;Z 17837
18:13:39:325 -> X -14753;Y -2049;Z 12316
18:13:39:345 -> X -8764;Y 1294;Z 6836
18:13:39:365 -> X -5882;Y -1262;Z 17046
18:13:39:385 -> X -13921;Y -2448;Z 14024
18:13:39:405 -> X -10895;Y 868;Z 6340
18:13:39:424 -> X -4744;Y -621;Z 15762
18:13:39:445 -> X -13042;Y -2733;Z 15463
18:13:39:465 -> X -12740;Y 502;Z 6087
18:13:39:484 -> X -3835;Y 234;Z 14029
18:13:39:505 -> X -11904;Y -2803;Z 16697
18:13:39:524 -> X -14059;Y 131;Z 6479
18:13:39:545 -> X -3677;Y 931;Z 12156
18:13:39:565 -> X -10840;Y -2801;Z 17540
18:13:39:585 -> X -14871;Y -313;Z 7191
18:13:39:604 -> X -4009;Y 1452;Z 10322
18:13:39:625 -> X -9680;Y -2625;Z 18041
18:13:39:645 -> X -15245;Y -892;Z 8663
18:13:39:664 -> X -5046;Y 1673;Z 8808
18:13:39:685 -> X -8398;Y -2348;Z 18164
18:13:39:705 -> X -15184;Y -1511;Z 10481
18:13:39:725 -> X -6651;Y 1580;Z 7627
18:13:39:745 -> X -7228;Y -1866;Z 17820
18:13:39:765 -> X -14709;Y -2060;Z 12317
18:13:39:784 -> X -8757;Y 1298;Z 6804
18:13:39:805 -> X -5924;Y -1243;Z 17040
18:13:39:825 -> X -13918;Y -2448;Z 13982
18:13:39:845 -> X -10913;Y 873;Z 6361
18:13:39:865 -> X -4765;Y -584;Z 15763
18:13:39:885 -> X -12965;Y -2749;Z 15506
18:13:39:905 -> X -12735;Y 495;Z 6062
18:13:39:925 -> X -3887;Y 210;Z 14070
18:13:39:945 -> X -11939;Y -2797;Z 16630
18:13:39:965 -> X -14017;Y 143;Z 6463
18:13:39:984 -> X -3643;Y 933;Z 12149
18:13:40:005 -> X -10804;Y -2821;Z 17473
18:13:40:025 -> X -14853;Y -290;Z 7168
18:13:40:045 -> X -4054;Y 1384;Z 10364
18:13:40:065 -> X -9698;Y -2596;Z 17963
18:13:40:084 -> X -15246;Y -917;Z 8634
18:13:40:105 -> X -4972;Y 1676;Z 8826
18:13:40:124 -> X -8469;Y -2371;Z 18083
18:13:40:145 -> X -15193;Y -1511;Z 10439
18:13:40:164 -> X -6632;Y 1569;Z 7689
18:13:40:185 -> X -7265;Y -1899;Z 17805
18:13:40:205 -> X -14750;Y -2040;Z 12236
18:13:40:224 -> X -8596;Y 1321;Z 6882
18:13:40:245 -> X -6036;Y -1302;Z 17122
18:13:40:265 -> X -13998;Y -2394;Z 13905
18:13:40:285 -> X -10711;Y 920;Z 6384
18:13:40:305 -> X -4836;Y -630;Z 15906
18:13:40:325 -> X -13089;Y -2722;Z 15340
18:13:40:345 -> X -12580;Y 550;Z 6127
